,index,name,online_order,book_table,rating,votes,location,rest_type,approx_cost,type
64,71,The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,300.00,Delivery
65,72,Spicy Tandoor,No,No,0,0,Banashankari,Quick Bites,150.00,Delivery
66,74,Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,300.00,Delivery
67,75,Om Sri Vinayaka Chats,No,No,0,0,Banashankari,"Takeaway, Delivery",500.00,Delivery
68,76,Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,150.00,Delivery
69,77,Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,300.00,Delivery
70,78,Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,500.00,Delivery
71,79,Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,350.00,Delivery
72,80,Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,500.00,Delivery
73,81,Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,400.00,Delivery
74,82,Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,200.00,Delivery
75,83,Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,700.00,Delivery
76,84,The Big O Bakes,No,No,4,66,Banashankari,Bakery,300.00,Delivery
77,85,Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,600.00,Delivery
78,86,Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,200.00,Delivery
79,87,Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,500.00,Delivery
80,88,Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,250.00,Delivery
81,89,Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,300.00,Delivery
82,90,Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,600.00,Delivery
83,91,Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,800.00,Delivery
84,92,Kaggis,No,No,3.8,64,Banashankari,Quick Bites,250.00,Delivery
85,93,Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,950.00,Delivery
86,94,Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,300.00,Delivery
87,95,Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,400.00,Delivery
88,96,Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,300.00,Delivery
89,97,Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,200.00,Delivery
90,98,Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,300.00,Delivery
91,99,Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery",400.00,Delivery
92,100,CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,600.00,Delivery
93,101,Cakes & Slices,No,No,3.5,13,Banashankari,Bakery,300.00,Delivery
94,102,Spice 9,No,No,3.4,8,Banashankari,Quick Bites,300.00,Delivery
95,103,Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,300.00,Delivery
96,104,Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,300.00,Delivery
97,105,Hari Super Sandwich,No,No,0,0,Banashankari,"Takeaway, Delivery",200.00,Delivery
98,106,Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,150.00,Delivery
99,107,Just Bake,No,No,3.4,8,Banashankari,Bakery,400.00,Delivery
100,108,K27 - The Pub,No,No,3.1,30,Banashankari,Bar,1000.00,Delivery
101,109,Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,300.00,Delivery
102,110,New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,200.00,Delivery
103,111,Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,100.00,Delivery
104,112,Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,200.00,Delivery
105,113,Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,200.00,Delivery
106,114,Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,100.00,Delivery
107,115,Roll Magic Fast Food,No,No,0,0,Banashankari,"Takeaway, Delivery",200.00,Delivery
108,116,Foodlieious Multi Cuisine,No,No,0,0,Banashankari,Quick Bites,100.00,Delivery
109,117,Thanishka Nati And Karavali Style,No,No,0,0,Banashankari,Quick Bites,400.00,Delivery
110,118,Melting Melodies,No,No,0,0,Banashankari,"Takeaway, Delivery",100.00,Delivery
111,119,New Indraprasta,No,No,0,0,Banashankari,Quick Bites,150.00,Delivery
112,120,Anna Kuteera,Yes,No,4,771,Banashankari,Casual Dining,450.00,Delivery
113,121,Darbar,No,No,3,98,Banashankari,Bar,800.00,Delivery
114,122,Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,200.00,Delivery
115,123,Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,500.00,Delivery
116,124,Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,300.00,Delivery
117,125,House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,650.00,Delivery
118,126,Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,400.00,Delivery
119,127,BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery",500.00,Delivery
120,128,KFC,Yes,No,3.8,505,Banashankari,Quick Bites,450.00,Delivery
121,129,Bitez,No,No,0,0,Banashankari,Quick Bites,100.00,Delivery
122,130,Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,500.00,Delivery
123,131,Imperial Restaurant,Yes,No,3.7,264,Mysore Road,Casual Dining,750.00,Delivery
124,132,Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,150.00,Delivery
125,133,The Fortuna,Yes,No,3,67,Kumaraswamy Layout,Quick Bites,250.00,Delivery
126,134,Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,350.00,Delivery
127,135,Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",300.00,Delivery
128,136,New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Quick Bites,300.00,Delivery
129,137,Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,800.00,Delivery
130,138,Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop",300.00,Delivery
131,139,The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,400.00,Delivery
132,140,HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,150.00,Delivery
133,141,Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,1200.00,Delivery
134,142,Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,150.00,Delivery
135,143,Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,300.00,Delivery
136,144,Kanti Sweets,Yes,No,4,115,Banashankari,Sweet Shop,400.00,Delivery
137,145,Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",400.00,Delivery
138,146,Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Quick Bites,200.00,Delivery
139,147,Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,250.00,Delivery
140,148,Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,400.00,Delivery
141,149,Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,500.00,Delivery
142,150,Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,150.00,Delivery
143,151,Tandoori Knight,Yes,No,3,290,Banashankari,Quick Bites,450.00,Delivery
144,152,Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,200.00,Delivery
145,153,Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,250.00,Delivery
146,154,Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,700.00,Delivery
147,155,Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,650.00,Delivery
148,156,Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,300.00,Delivery
149,157,@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,700.00,Delivery
150,158,Chilli Flakes,Yes,No,3.6,46,Banashankari,Quick Bites,500.00,Delivery
151,159,Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,350.00,Delivery
152,160,Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,150.00,Delivery
153,161,Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,400.00,Delivery
154,162,By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,100.00,Delivery
155,163,Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,200.00,Delivery
156,164,Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,150.00,Delivery
157,165,Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,300.00,Delivery
158,166,Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,350.00,Delivery
159,167,Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,Quick Bites,100.00,Delivery
160,168,CafDown The Alley,Yes,No,4.1,402,Banashankari,Cafe,500.00,Delivery
161,169,Gokul Veg,Yes,No,3.8,469,Basavanagudi,Casual Dining,750.00,Delivery
162,170,Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,550.00,Delivery
163,171,Udupi Ruchi,Yes,No,3.9,57,Banashankari,Quick Bites,200.00,Delivery
164,172,Madhappa Hindu Military Hotel,Yes,No,3.4,14,Banashankari,Quick Bites,300.00,Delivery
165,173,Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,200.00,Delivery
166,174,The Vintage Cafe,Yes,No,3,62,Banashankari,Cafe,400.00,Delivery
167,175,Pizza Hut,Yes,No,3.8,693,Banashankari,Casual Dining,750.00,Delivery
168,176,Mangalore Pearl,Yes,No,3.8,242,Jayanagar,Casual Dining,650.00,Delivery
169,177,Asha Sweets Centre,Yes,No,3.6,27,Basavanagudi,Dessert Parlor,250.00,Delivery
170,178,Twiststick House,Yes,No,4.1,163,Basavanagudi,Quick Bites,500.00,Delivery
171,179,Cool Corner,Yes,No,4.2,191,Basavanagudi,Quick Bites,250.00,Delivery
172,180,Pizza Mane,Yes,No,3.5,32,Banashankari,Quick Bites,150.00,Delivery
173,182,Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,1500.00,Delivery
174,183,Mystique Palate,Yes,No,4.1,337,Jayanagar,Quick Bites,300.00,Delivery
175,184,Thamboola,Yes,No,3.9,135,Banashankari,Casual Dining,800.00,Delivery
176,185,Castle Rock,Yes,No,3.6,172,Uttarahalli,Casual Dining,700.00,Delivery
177,186,Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Casual Dining,700.00,Delivery
178,187,Smacznego,Yes,No,4.2,504,Banashankari,Cafe,550.00,Delivery
179,188,C Corner,Yes,No,3.2,36,Kumaraswamy Layout,Quick Bites,200.00,Delivery
180,189,Paratha Merchant,Yes,No,3.1,39,Kumaraswamy Layout,Quick Bites,300.00,Delivery
181,190,North Rasoe,Yes,No,3.1,5,Kumaraswamy Layout,Casual Dining,500.00,Delivery
182,191,Toscano,Yes,Yes,4.3,1129,Jayanagar,Casual Dining,1300.00,Delivery
183,192,Lord Of The Kitchen,Yes,No,3.9,56,Kumaraswamy Layout,Quick Bites,350.00,Delivery
184,193,Stoned Monkey,Yes,No,4.3,860,Banashankari,Dessert Parlor,500.00,Delivery
185,194,Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,Casual Dining,700.00,Delivery
186,195,Bella,Yes,Yes,3.9,142,Jayanagar,Casual Dining,1000.00,Delivery
187,196,Vennela Andhra Meals,Yes,No,3,23,Jayanagar,Quick Bites,400.00,Delivery
188,197,New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,Casual Dining,750.00,Delivery
189,198,The Grillo,Yes,Yes,2.8,80,Jayanagar,Casual Dining,500.00,Delivery
190,199,Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,Casual Dining,400.00,Delivery
191,200,Karma Kaapi,Yes,No,4.4,181,Jayanagar,Beverage Shop,250.00,Delivery
192,201,Tiwari's,Yes,No,3.8,70,Jayanagar,Quick Bites,200.00,Delivery
193,202,Pizza Stop,Yes,No,3.8,164,Basavanagudi,Quick Bites,600.00,Delivery
194,203,Biggies Burger 'n' More,Yes,No,3.6,58,Kumaraswamy Layout,Quick Bites,650.00,Delivery
195,204,Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe",550.00,Delivery
196,205,Kollapuri's,No,No,3.9,206,Basavanagudi,Quick Bites,450.00,Delivery
197,206,Kadamba Classic,No,No,3.6,16,Mysore Road,Quick Bites,300.00,Delivery
198,207,RS Shiv Sagar,No,No,3.7,217,Basavanagudi,Casual Dining,450.00,Delivery
199,208,Kholi Mane,No,No,3.6,46,Basavanagudi,Quick Bites,450.00,Delivery
200,209,Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,Quick Bites,150.00,Delivery
201,210,Cake Yard,No,No,3.4,30,Basavanagudi,Dessert Parlor,250.00,Delivery
202,211,Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,800.00,Delivery
203,212,Sri Udupi Veg,No,No,3.3,4,Jayanagar,Quick Bites,250.00,Delivery
204,213,Cake Art,No,No,3.5,15,Basavanagudi,"Bakery, Quick Bites",400.00,Delivery
205,214,Potato House,Yes,No,3.4,9,Uttarahalli,Quick Bites,200.00,Delivery
206,215,Matru Sagar,Yes,No,3.7,31,Mysore Road,Quick Bites,300.00,Delivery
207,217,Sri Krishna Sweets,Yes,No,3.7,22,Basavanagudi,Sweet Shop,250.00,Delivery
208,218,In Time Cane Juice,Yes,No,3.5,10,Kumaraswamy Layout,Beverage Shop,100.00,Delivery
209,219,Subway,Yes,No,3.7,136,Banashankari,Quick Bites,600.00,Delivery
210,220,Daal Roti,Yes,No,2.9,35,Kumaraswamy Layout,Quick Bites,250.00,Delivery
211,221,The Lassi Park,Yes,No,4.1,185,Jayanagar,Quick Bites,200.00,Delivery
212,222,Cafe Coffee Day,Yes,No,3.2,17,Jayanagar,Cafe,900.00,Delivery
213,223,A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,Mysore Road,Casual Dining,400.00,Delivery
214,224,Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,Quick Bites,300.00,Delivery
215,225,Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,600.00,Delivery
216,226,Green Gardenia,Yes,No,3.8,160,Banashankari,Casual Dining,700.00,Delivery
217,227,J Spice,Yes,No,3.8,59,Banashankari,Casual Dining,750.00,Delivery
218,228,Karavali Family Restaurant,Yes,No,3.5,90,Jayanagar,Casual Dining,500.00,Delivery
219,229,Karavali Lunch Home,Yes,No,3.7,51,Kumaraswamy Layout,Quick Bites,350.00,Delivery
220,230,Hatti Kaapi,Yes,No,4,89,Jayanagar,Quick Bites,200.00,Delivery
221,231,Kolkata Kathi Roll's,Yes,No,3.6,18,Banashankari,Quick Bites,250.00,Delivery
222,232,Upahara Darshini,Yes,No,3.9,40,Basavanagudi,Casual Dining,600.00,Delivery
223,233,The Chaat Shop,Yes,No,2.5,35,Basavanagudi,Quick Bites,200.00,Delivery
224,234,Anda Ka Funda,Yes,No,3.4,89,Jayanagar,Quick Bites,250.00,Delivery
225,235,Shri Vinayaka Ice N Juice,Yes,No,3.2,11,Basavanagudi,Quick Bites,150.00,Delivery
226,236,My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe",600.00,Delivery
227,237,Ibaco,Yes,No,3.9,33,Jayanagar,Dessert Parlor,300.00,Delivery
228,238,Jalaram Sweets,Yes,No,3.8,32,Jayanagar,Sweet Shop,250.00,Delivery
229,239,Samskruti - Sanman Gardenia,Yes,No,4.1,139,Jayanagar,Casual Dining,550.00,Delivery
230,240,Bendakaluru Bytes,Yes,No,3.2,154,Vijay Nagar,Quick Bites,300.00,Delivery
231,241,Cocoa Bakes,Yes,No,3.6,14,Banashankari,Bakery,350.00,Delivery
232,242,Chumma Delicious,Yes,No,3.7,237,Banashankari,Quick Bites,200.00,Delivery
233,243,New Prashanth Hotel,Yes,No,3.9,388,Banashankari,Casual Dining,650.00,Delivery
234,244,SSV Upahar,Yes,No,0,0,Jayanagar,Quick Bites,300.00,Delivery
235,245,Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,Casual Dining,500.00,Delivery
236,246,Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,Casual Dining,1200.00,Delivery
237,247,Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,650.00,Delivery
238,248,Tanna's Kitchen,Yes,No,3.1,7,Kumaraswamy Layout,Quick Bites,250.00,Delivery
239,249,Shree Mandarathi Grand,Yes,No,3.7,38,Uttarahalli,Casual Dining,400.00,Delivery
240,250,Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,Delivery,600.00,Delivery
241,251,Iceberg Icecreams,Yes,No,4,43,Basavanagudi,Dessert Parlor,250.00,Delivery
242,252,South Kitchen,Yes,No,4.3,275,Basavanagudi,Quick Bites,100.00,Delivery
243,253,Chung Wah,Yes,No,3.7,323,Jayanagar,Casual Dining,850.00,Delivery
244,254,Shanthi Sagar,Yes,No,3.1,28,Uttarahalli,Casual Dining,400.00,Delivery
245,255,Millet Mama,Yes,No,3.9,18,Basavanagudi,Quick Bites,200.00,Delivery
246,256,Bangarpet Chat Express,Yes,No,3.3,6,Basavanagudi,Quick Bites,100.00,Delivery
247,257,Prems Graama Bhojanam,Yes,No,4.3,322,Jayanagar,Casual Dining,400.00,Delivery
248,258,Java City,Yes,No,2.6,157,Jayanagar,Cafe,450.00,Delivery
249,259,Kamat Bugle Rock,Yes,No,3.9,543,Basavanagudi,Quick Bites,300.00,Delivery
250,260,Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,500.00,Delivery
251,261,Puliyogare Point,Yes,No,4.2,444,Basavanagudi,Quick Bites,100.00,Delivery
252,262,Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,Quick Bites,400.00,Delivery
253,263,Rustic Stove,Yes,No,3.8,577,Jayanagar,Casual Dining,900.00,Delivery
254,264,Udupi Ruchi Grand,Yes,No,4.2,60,Banashankari,Quick Bites,200.00,Delivery
255,265,De Thaali,Yes,No,3.9,144,Jayanagar,Casual Dining,550.00,Delivery
256,266,Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,800.00,Delivery
257,267,Just Thindi,Yes,No,3.6,16,Basavanagudi,Quick Bites,200.00,Delivery
258,268,Matru Sagar,Yes,No,3.6,84,Banashankari,Quick Bites,250.00,Delivery
259,269,Vasanth Vihar - Since 1965,Yes,No,3.6,95,Banashankari,Quick Bites,150.00,Delivery
260,270,Sea Spice by 7 Star,Yes,Yes,4,349,Banashankari,Casual Dining,1200.00,Delivery
261,271,Desi Dawat,Yes,No,3.7,248,Kumaraswamy Layout,Quick Bites,400.00,Delivery
262,272,Cafe Aira,Yes,No,4.1,216,Basavanagudi,Cafe,500.00,Delivery
263,273,Penthouse Cafe,Yes,No,4,324,Banashankari,Cafe,700.00,Delivery
264,275,South Grand,Yes,No,3.4,102,Uttarahalli,Casual Dining,400.00,Delivery
265,276,Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,800.00,Delivery
266,277,The Pizzeria,Yes,No,2.8,45,Banashankari,Casual Dining,800.00,Delivery
267,278,Cafe Zone,Yes,No,3.9,149,Kumaraswamy Layout,Quick Bites,300.00,Delivery
268,279,Ruchis Point,Yes,No,3.8,75,Banashankari,Quick Bites,200.00,Delivery
269,280,Firangi Bake,Yes,No,4,53,Rajarajeshwari Nagar,Delivery,600.00,Delivery
270,281,The Royal Corner - Pai Viceroy,Yes,Yes,4.2,815,Jayanagar,Casual Dining,900.00,Delivery
271,282,Hara Fine Dine,Yes,Yes,4,633,Banashankari,Casual Dining,800.00,Delivery
272,283,Chocoberry,Yes,No,3.5,56,Jayanagar,Dessert Parlor,400.00,Delivery
273,284,Dakshin Grand,Yes,No,3,82,Banashankari,Quick Bites,300.00,Delivery
274,285,Sandwichwallas,Yes,No,3.7,35,Jayanagar,Quick Bites,200.00,Delivery
275,286,Chai Mane,Yes,No,3.6,20,Basavanagudi,Quick Bites,150.00,Delivery
276,287,SLV Upachar,Yes,No,3.1,14,Kumaraswamy Layout,Quick Bites,250.00,Delivery
277,288,Waffle-A-Go Go,Yes,No,3.9,70,Banashankari,Dessert Parlor,400.00,Delivery
278,289,Cross Road Cafe,Yes,No,3.9,91,Jayanagar,Cafe,300.00,Delivery
279,290,Anand Donne Biriyani,Yes,No,3.6,45,Jayanagar,Quick Bites,200.00,Delivery
280,291,Seven Star,Yes,No,3.4,7,Banashankari,Quick Bites,250.00,Delivery
281,292,Stop 'N' Joy,Yes,No,3.8,28,Banashankari,Quick Bites,150.00,Delivery
282,293,Sri Yaksha Shiv Sagar,Yes,No,3.6,24,Banashankari,Casual Dining,600.00,Delivery
283,294,Fudge,Yes,No,3.8,36,Basavanagudi,Dessert Parlor,200.00,Delivery
284,295,Just Bunny,Yes,No,3.5,11,Jayanagar,Quick Bites,200.00,Delivery
285,296,Bakers Town,Yes,No,3.8,77,Kumaraswamy Layout,Cafe,650.00,Delivery
